Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,695.3973,16.4928,16.3449,0.1479,0.2951,16.4894,0.5968,15.8926,32.3956,16.6593,0.0722,695.3973,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,662.6551,16.5874,16.3609,0.2265,33.2945,15.6376,0.5648,15.0728,65.1386,16.6596,-0.2181,662.6551,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,711.8901,16.6398,16.4922,0.1476,0.2917,16.7149,0.6116,16.1033,32.5621,16.6935,-0.1665,711.8901,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,679.2425,16.8319,16.5773,0.2546,33.0988,15.9784,0.6332,15.3452,65.2108,16.6934,-0.0722,679.2425,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,728.5299,17.0371,16.8301,0.2070,0.3668,16.7886,0.5507,16.2379,32.6158,16.6364,-0.0537,728.5299,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,696.0744,16.3390,16.1794,0.1596,32.9626,15.9089,0.6295,15.2794,65.0723,16.6360,0.1385,696.0744,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,745.5670,16.5419,16.4050,0.1369,0.1183,16.5892,0.5416,16.0476,32.2151,16.6512,0.4007,745.5670,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,712.4134,16.7179,16.5214,0.1965,34.2742,14.9529,0.5526,14.4003,65.3693,16.6512,-0.2970,712.4134,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,762.1089,16.9364,16.6808,0.2556,0.1656,16.9122,0.5702,16.3420,32.3244,16.6606,-0.1093,762.1089,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,729.1313,17.4069,16.9099,0.4970,33.2273,15.9125,0.6967,15.2158,65.3026,16.6605,0.0667,729.1313,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,779.0453,16.2649,16.0955,0.1694,0.1414,16.4627,0.6243,15.8384,32.0486,16.6810,0.2758,779.0453,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,746.5382,15.9454,15.7398,0.2056,32.6788,15.7093,0.6415,15.0678,64.5562,16.6810,0.7464,746.5382,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,795.3102,16.5309,16.4067,0.1242,0.3392,16.4764,0.6584,15.8180,32.4647,16.6533,-0.4161,795.3102,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,762.4836,16.8382,16.6268,0.2114,33.3550,15.7193,0.5998,15.1195,65.2918,16.6535,-0.7356,762.4836,NA,NA
